,name_en,desc_en,model_id,product_number,product_additional,product_number_source_type
1580,BIGDIPPER Internet Integrated Cooker Appliance (C1 disinfection cabinet),"Disinfection cabinet type integrated stove: It includes the functions of the disinfection cabinet, range hood, and cooker, and an integrated whole machine.",bdx.i_stove.c1x,,,
1581,Mi Smart Triple One Way Wall Switch with Display,,isa.switch.kg03hl,,,
1582,Smart socket (non-metered),,hsmart.plug.ws1sk,,,
1583,Smart Switch WIFI X,3-digit smart switch WIFI X version,leshi.switch.v0001,,,
1584,socket,,girt.plug.socket,,,
1585,Dling Smart Video Doorbell Plus,"The smart video doorbell enhancement is a door to the door to let you miss the speaker's smart device.The visitors are tapped by the doorbell. When you are at home, the indoor chance sounds a wonderful ring tone reminder. When you are not at home, the smart doorbell will send your mobile phone to the mobile phone, and you can see the visitors after connecting, and talk to it.",madv.cateye.dlowlplus,,,
1586,Air Conditioning Controller (Advanced),"1 Infrared transceiver function (mainly to control the air conditioner, reserved for iteration to upgrade the TV, set-top box control function)
2 Functions of ZigBee control center (gateway function)
3 Power metering function
4 ON/OFF relay switch function (can control water heaters and other equipment)",lumi.acpartner.v3,KTBL11LM,,manual
1587,Medilon Fresh Air,Medilon Fresh Air,tc0756.airmonitor.71,,,
1588,G27_smart switch_two open_up button,,bull.switch.s212,,,
1589,Parking spaces are intelligently locked,Ground lock,park.switch.fp509,,,
1590,Mi Smart Microwave Oven with Grill,,chunmi.microwave.n23l01,,,
1591,"ES Scene Switch (With Neutral, Double Rocker)",Eggenstone,lumi.switch.n2eic2,,,
1592,Xun Kids Smartwatch T1,Xiaoxun Children's Watch,xiaoxun.watch.v4,,,
1593,Kola Mother Smart Milking Machine,Smart milk dispenser,kola.milk.v1,,,
1594,MPE smart bed,,mpe.bed.mpe,,,
1595,Ropot,Flowers and grass bluetooth flower pots,hhcc.bleflowerpot.v2,,,
1596,Adjustable dual color temperature lamp,Adjustable brightness and color temperature,pair.light.5,,,
1597,NVC LED Smart Ceiling Lamp,,leishi.light.eps112,,,
1598,Infrared TV,,yonsz.tv.0,,,
1599,Smart Wifi PTZ Camera,,xiaovv.camera.xvsnowman,,,
1600,KaRuiQi electric drying rack,,syi.airer.sy1,,,
1601,Curtain Motor (WIFI),,babai.curtain.ad5810,,,
1602,Smart curtains 2,Smart curtain supports opening and closing,yszj.curtain.2a10a,,,
1603,Yeelight Mesh LED Bulb,Mesh E27 bulb,yeelink.light.meshbulb1,,,
1604,Chengyun Gateway mini,Chengyun Gateway mini version,xqh.gateway.a00001,,,
1605,Viomi Smart Hood (European style),Yunmi Internet Range Hood,viomi.hood.a9,,,
1606,Mi Air Purifier 3,"Mi Air Purifier 2s upgraded version, CADR increased, noise reduced, and touch buttons added",zhimi.airpurifier.ma4,,,
1607,motor control,"Garage doors, rolling doors",anlin.curtain.1,,,
1608,IMILAB Home Security Camera Basic,,chuangmi.camera.ipc016,CMSXJ16A,,manual
1609,SCISHARE Smart Capsule Coffee Machine,"One-click control coffee machine, three different functions, can directly produce concentrated coffee, American coffee, hot water, and add control operations to control the coffee machine switch, cleaning, adjustment parameters.",scishare.coffee.s1102,Scishare S1102,,manual
1610,Mi Full Screen TV Pro,,xiaomi.tv.fsprov1,,,
1611,ZMI Power Bank,Zimi Smart Power Bank,zimi.powerbank.v1,,,
1612,Smart Sleeping Sensor -- Lunar,Record basic sleep status,thinks.lunar.xm1,,,
1613,Scene Ble mesh light,Scenario Bluetooth mesh two-color light-DBS photoelectric isolation,jsc.light.wyls02,,,
1614,Navi 1.5P,"erp code: 50.01.01.01.0145
69 yards: 6923185617389
Product model: KFRd-35GW/Y2PD3-A1",viomi.aircondition.y56,KFRd-35GW/Y2PD3-A1,,auto
1615,Mi Induction Cooker Set Chef Nic Edition,,chunmi.ihcooker.chefnic,,,
1616,MI Smart humidifer,149,deerma.humidifier.jsq3,MJJSQ04DY,4L,manual
1617,Plug socket,,mpkx.plug.010002,,,
1618,Mi Smart Standing Fan 1X,Dream Maker Mijia DC Fan,dmaker.fan.p5,,,
1619,aircondition,,wd7qt6.aircondition.air,,,
1620,Mi Smart Side-Draft Range Hood,Mijia Internet Smoke Stove 2nd Generation,viomi.hood.v2,,,
1621,Viomi Smart Refrigerator iLive (SBS 598L),,viomi.fridge.p1,,,
1622,Mi 360 Webcam,Mijia Xiaobai Smart Camera,chuangmi.camera.xiaobai,,,
1623,Aqara Door Lock,"This product is a home smart door lock with password opening, key opening and APP authorization opening functions. At the same time, the APP can realize the authorization of the key, report the loss and recovery, and can push all unlocking event reminders to the user in real time",lumi.lock.aq1,ZNMS11LM,,manual
1624,NVC Smart fan lamp (ZhiYi),Fan light-open leaf,leishi.light.wyfa02,,,
1625,KFE,KFE brand drying rack,nbczwl.airer.kfe01,,,
1626,Beta build,For developers-mc200,xiaomi.demo.v1,,,
1627,switch_one,Single channel switch,zhihw.switch.uiid6,,,
1628,Yeelight Xingyu Ceiling Light,Yilai Xingyu Ceiling Light,yeelink.light.ceiling16,,,
1629,Color temperature lamp,,giz.light.light,,,
1630,Curtain motor Zigbee version,,xqh.curtain.a20311,,,
1631,2-Button Live Wire Switch,Single fire wire touch switch Double open single fire switch 1 2,uiot.switch.switch2,,,
1632,Xun Kids Smartwatch Y1,,xiaoxun.watch.sw705,,,
1633,NVC ceiling light,,ddwl.light.c209,,,
1634,MR.BOND,"Mr. Bang M0 intelligent drying machine, small body, drying, drying is carried out, and is suitable for small space usage.",mrbond.airer.m0,,,
1635,Set-top box infrared remote control,,ghome.remote.sf003,,,
1636,CWRGB downlight,,szsy.light.040011,,,
1637,Pipa intelligent curtain motor,Crackling Smart Curtain Motor,090615.curtain.pipacr,,,
1638,Smart Light Group,"Lamp group with [switch, brightness, color] function",mijia.light.group5,,,
1639,IMI Home Security Camera 1080P Global,Xiaobai Smart Camera PTZ Version,chuangmi.camera.ipc013d,CMSXJ13B,,manual
1640,Sinilink,,sini.switch.495246,,,
1641,IMI Home Security Smart Lock J16,,chuangmi.lock.hmi503a01,,,
1642,Smartknow Smart Sterilization Cup Bluetooth Version,,zhij.toothbrush.bv1,,,
1643,iCool 1V 1.5P,"erp code: 50.01.01.01.0087
69 yards: 6923185615811
Product model: KFRd-35GW/Y3PK1-C1",viomi.aircondition.y25,KFRd-35GW/Y3PK1-C1,,auto
1644,Tunable And Color Ambiance Light,Ordinary Wi-Fi Lantern,tuya.light.tywl02,,,
1645,Smart curtain motor C2,,lumi.curtain.hagl07,,,
1646,switch_two,Dual channel switch,coolki.switch.two,,,
1647,aircondition,,juhl.aircondition.a11,,,
1648,Mi Water Purifier,Mi Water Purifier Kitchen Top Edition (Espressif Module),yunmi.waterpuri.lx2,,,
1649,Mi Network Radio Plus,"On the basis of the first generation of Internet radio, add Bluetooth speaker function",chuangmi.radio.v2,WLSYJ02CM,,manual
1650,Viomi sweeper PRO,Yunmi v3 sweeper Pro,viomi.vacuum.v3,V-RVCLM21B,,manual
1651,HUIZUO Ceiling Light,,huayi.light.wy,,,
1652,Mi Water Purifier H800G,,chunmi.waterpuri.800f3,,,
1653,"ES Wall Switch (With Neutral, Quadruple Rocker)",Eggenstone,lumi.switch.n4eic1,,,
1654,PGG Neck Massager P7,,dtr.magic_touch.p7,,,
1655,SherLock M1,"Sherlock Smart Sticker Lock M1 is a smart lock that can be affixed, using short-range Bluetooth communication to work with smartphones.There is no need to replace the original anti-theft lock, the smart lock is posted indoors, the installation is extremely fast, the original key can still be used, and the mechanical lock can be easily upgraded to a smart door lock.",yunshi.lock.s2,,,
1656,Yeelight Smart Dual Control Module,,yeelink.switch.sw1,YLAI002,,manual
1657,Mi Dash Cam,"Check the video playback during the driving process through the mobile phone APP, and set up the driving recorder terminal for wonderful moments.",midr.cardvr.v1,,,
1658,WIFI Switch,Zhengguo Smart WIFI Wall Switch,zinguo.switch.k2,,,
1659,SmartLight,"Smart Bulb Lights are a smart LED lamp product that our company uses WiFi control technology independently developed.The smart bulb lamp is mainly for adults with certain requirements for life and a young man who has certain exploration capabilities for fresh things. She can be flexible in the living room, study, bedroom and other home scene, with different styles of lampshade, suitableIn different homes, effectively improve the quality of life, soothing atmosphere, so that users can better enjoy the fun of smart products to our lives, and users can implement many functions in the smart terminal to install the corresponding APP, truly understand the intelligenceThe product is comfortable and convenient for life.
The APP supports the heart control, the game interacts multiple functions, combines traditional switch to switch light scene, which is very convenient and fast.",oge.light.seetime0800,,,
1660,Enterprise Wired Smart Gateway Version 2.0,"Connect panels, sensors, curtain motors, air conditioners and other devices to miot through CAN, 485, KNX and other bus protocols",bymiot.gateway.v2,,,
1661,Yihuijia smart doors and windows products,Yihuijia smart door and window products are connected to Xiaoai,evecca.switch.evecca,,,
1662,CWRGB downlight,,nvcls.light.040011,,,
1663,SPOT,LifeSmart Super Bowl is an infrared forwarding device with light function,lfsmt.light.ls034sl,,,
1664,Viomi Refrigerator (SBS 639L),MIoT-Spec protocol access,viomi.fridge.u41,,,
1665,Viomi Refrigerator 21Face (CrossDoor502L),,viomi.fridge.x20,,,
1666,Ohh smart socket,"With Ohh smart gateway to achieve the following multiple functions:
Remote control: Check the status of home appliances at any time through the APP for remote control, and you can also use the scene to set time switch appliances to enjoy a comfortable smart life.
Voice control: give instructions to the voice butler, you can easily control home appliances, and can be connected to the smart speakers on the market for control.
Electricity statistics: monitor the daily and weekly electricity consumption of electrical appliances to help you rationally use each electrical appliance and achieve energy saving and environmental protection.
Over-temperature and overload protection: When the socket detects the load power or the socket temperature exceeds the protection value, it will automatically cut off the power immediately to prevent danger and be your safety assistant.
Actual power detection: You can check how much power the current device is using at any time in the APP, and you can control the status of home appliances at will.
Support relay 315, 433 radio frequency equipment",ohh.plug.sk01,,,
1667,B105 circuit breaker,B105 circuit breaker,rjkj.switch.b105,,,
1668,PTV30-electric heating,,poer19.heater.ptv30,,,
1669,MZXlight,Smart home,jksx.light.mzx,,,
1670,Jinxing Smart Air Conditioner,Jinxing Smart Air Conditioner,idelan.aircondition.v1,,,
1671,Fruit wheat fresh air blower 420S,,gmair.airfresh.gm420s,,,
1672,smartcurtain,,asunga.curtain.ct01s,,,
1673,TV,TV equipment,ecloud.tv.eq,,,
1674,Dreame Bot L10 Pro,Laser-navigated sweeping robot using line laser for obstacle avoidance,dreame.vacuum.p2029,,,
1675,Roborock P5,"Roborock P5, mass production model",roborock.vacuum.p5,,"Ch, Roborock S6 Pure",manual
1676,Viomi Refrigerator 21FACE (SBS450L),,viomi.fridge.x17,,,
1677,Focus Heater,pd-eh1a-focus electric heater,ows.heater.pdeh1a,,,
1678,Viomi Smart Refrigerator 21Face (502L),Android SDK access,viomi.fridge.x28,,,
1679,LED bulb (adjustable temperature),,lumi.light.aqcn01,,,
1680,Infrared Air Conditioner,Infrared air conditioner,uiot.aircondition.air4,,,
1681,Fresh Air Controller Youth Edition,"Fresh Air Controller Youth Edition
Firmware ST800FAC
Product ID 160fa8b80f1103e9160fa8b80f111001",linked.airpurifier.800fac,,,
1682,socket,,jyx.plug.000901,,,
1683,Yeelight Haobai LED Panel light Pro,Yeelight Haobai Smart Panel Light Pro,yeelink.light.panel3,,,
1684,LED lights,,future.light.led,,,
1685,socket,,wfiot.plug.ot1001,,,
1686,Zhiyun IOT Aquatic Lantern,"Use Xiao Ai to easily control your water plant lights, smart lights, execute switches, adjust brightness, etc.",espush.light.es02,,,
1687,Fan Remote Control,Mijia fan infrared remote control,miir.fan.ir01,,,
1688,TV Remote Control,Mijia TV infrared remote control,miir.tv.ir01,,,
1689,Infrared socket,Infrared socket,wanye.plug.zcz004,,,
1690,Pawbby Dog Camera & Treat Cam,Smart pet snack machine.,mmgg.feeder.snack,,,
1691,Smartmi Inverter Pedestal Fan,"Natural wind, table fan and floor fan dual purpose, built-in battery",zhimi.fan.za1,,,
1692,SmartPlug,,heiman.plug.hs2sk,,,
1693,Central Italian Aipu Fresh Air,Central Italian Aipu Fresh Air,tc0756.airfresh.65,,,
1694,Mitsubishi Heavy Industries Haier Constant Temperature Fresh Air Blower,,mhaq.airfresh.miwind,,,
1695,One touch switch panel,"86 type touch switch panel, the bottom box uses flame-retardant PVC, zero live wire switch, rated power: between 3 and 1200W, working voltage: AC220V ± 15%.",ezhome.switch.z4001,,,
1696,DEMULLER Fan (Single Cold Tower Fan),,wanai.fan.t118,,,
1697,Gosund Light strip,Smart light strip,cuco.light.sl4,,,
1698,Door lock sensor,Detection of door open/close and door lock status,lumi.sensor_dlock.v1,,,
1699,Smart curtain,,etlink.curtain.cur001,,,
1700,Fresh air,New fan,hosjoy.airfresh.fshair,,,
1701,Wi-Fi Smart Wall Switch,"""Support Xiao Ai"" certification review equipment",coolki.switch.t3uk2c,,,
1702,Viomi Smart Gas Water Heater S1 13L,MIoT-Spec access,viomi.waterheater.u17,,,
1703,Airdog X7S (M) air purifier,Add formaldehyde function to X7,airdog.airpurifier.x7sm,,,
1704,Daikin Central Air Conditioning,Daikin Central Air Conditioning,tc0756.aircondition.35,,,
1705,Smart chandelier,,nvcls.light.040018,,,
1706,switch,,wfiot.switch.switch,,,
1707,TOKIT Pressure IH Smart Rice Cooker,,tokit.cooker.press1,,,
1708,Medilon Fresh Air,Medilon Fresh Air,tc0756.airfresh.71b,,,
1709,OJJ X1,X1 is the first product of the new brand OJJ under Luke. It is mainly cost-effective and hopes that smart door locks will benefit more ordinary people.,loock.lock.v4,,,
1710,Yeelight Smart Bath Heater Duo,Ultra-thin Yuba,yeelink.bhf_light.v3,,,
1711,curtain,No certification trademark required,ihome.curtain.escc,,,
1712,CW downlight,,szsy.light.040012,,,
1713,ceilinglight,"Op smart ceiling light, support small AI speaker voice control",opple.light.ceiling,,,
1714,Fan infrared remote control,,oge.fan.fan1,,,
1715,Ceiling Light MX960 (Adjustable Color Temperature),A ceiling lamp with adjustable brightness and color temperature is generally suitable for large living rooms. It is connected to the gateway through the Zigbee 3.0 module and interconnected.Need to realize the distributed networking function.,lumi.light.cwopcn01,,,
1716,TOKIT Smart IH Rice Cooker,,tokit.cooker.tk4001,,,
1717,SmartGw,,heiman.plug.hs2gw,,,
1718,air,Control the temperature and setting mode of the air conditioner,zunder.aircondition.air,,,
1719,Window pusher,Obsolete,juzi.wopener.040102,,,
1720,Monochrome Bulb (57),,coolki.light.uid57,,,
1721,Lettin Chroma Lightstrip,Lettin Smart Strip,lettin.light.lightstrip,,,
1722,Smart Light Group,Lamp group with [switch] function only,mijia.light.group1,,,
1723,Warm Moxibustion Box,,zdeer.ajh.ajb,,,
1724,Loock Smart Lock Classic 2,"Luke Smart Door Lock Classic 2, second-generation hardware",loock.lock.cc2s,,,
1725,SmartJoy Zhizhen wall switch (one key Mesh),,smartj.switch.sjlh1s,,,
1726,Lettin Chroma BR30,Lettin Smart Floodlight Full Color Version,lettin.light.chromabr,,,
1727,Viomi Smart Electric Water Heater C1 (60L),MIoT-Spec protocol access,viomi.waterheater.e17,,,
1728,Set top box,Control the TV through a set-top box,zunder.stb.zunder,,,
1729,Test analog socket,Test analog socket,xiaomi.plug.test1,,,
1730,Zelkova smart gateway,Gateway used with smart door lock,shjszn.gateway.c1,,,
1731,CW NVC ceiling light,,sykj.light.040015,,,
1732,plug,socket,cgzn.plug.plug,,,
1733,ROIDMI Handheld Vacuum Cleaner,Portable rechargeable vacuum cleaner,roidmi.vacuum.v1,,,
1734,Philips Zhirui Ceiling Lamp Bedroom 40W,Philips bedroom 460,philips.light.bceiling1,,,
1735,Golden Soft Network Smart Switch Box 1,Jinsoft Smart Switch Box JRSwitch_1_1,jrnet.switch.sw1,,,
1736,Smartjoy smart wall outlet (WiFi version),SmartJoy Smart Wall Socket (WiFi version),smartj.plug.sjsc86,,,
1737,Xun Kids Smartwatch,Xiaoxun Watch,xiaoxun.watch.v2,,,
1738,SmartJoy Zhizhen wall switch (three key Mesh),,smartj.switch.sjlh3s,,,
1739,Galaxy series -003 (drying flagship),,micoe.airer.hz003h,,,
1740,Sumi Ruguang Spotlight,,xhuan.light.wy0a07,,,
1741,MEEYA intelligent curtain,"Miya smart curtain motor, controlled by Mijia APP, voice controlled by Xiao Ai.",090615.curtain.mt800w,,,
1742,Infrared fan,,yonsz.fan.0,,,
1743,WiFi 60W dimming light,wifi dim,arnoo.light.dim01,,,
1744,Zhirui Ceiling Lamp Gorgeous 28W,Zhirui Ceiling Light Star Diamond Bedroom 28W,philips.light.xzceis,,,
1745,Shengteng Ceiling Light,Shengteng Square Ceiling Light,stds.light.wyst02,,,
1746,Viomi Smart Gas Water Heater VGW1615 16L,MIOT-SPEC,viomi.waterheater.u33,,,
1747,Two keys smart switch WIFI X1,2 bit smart switch WIFI X1 version,leshi.switch.v0002,,,
1748,e380,Gateway switch,ipuray.switch.e380,,,
1749,Set-top box,,tyzhjt.stb.stb002,,,
1750,zigbee wall plug,,scinan.plug.zbqc,,,
1751,NIOYE Intelligent lamp,Two-color isolation lamp 33302,ddk.light.wy0a01,,,
1752,Viomi Smart Water purifier Blues (600G),MIoT SPEC protocol access,yunmi.waterpuri.s12,,,
1753,Electric light,Electric light,tc0756.light.test,,,
1754,Roborock T4,,roborock.vacuum.t4,,"CN, roborock.vacuum.t4",manual
1755,Viomi Smart Water purifier Easy3 (400G),MIoT-Spec protocol access,yunmi.waterpuri.f4,,,
1756,air conditioning,,dnake.aircondition.air,,,
1757,Mi Washer Dryer 10kg,AKO JUMP-Y-2,minij.washer.v10,,,
1758,Single control module,,lumi.relay.c1acn01,,,
1759,Yeelight stylized Ceiling Light Pro,Stylized ceiling light Pro,yeelink.light.ceiling12,,,
1760,TOSPO LED Module,Dimming and color mixing ceiling lamp replacement light source module,tospo1.light.rpc01,,,
1761,Scene mesh lamp K,"Kraton front monochromatic lamp, 33311-17",lemesh.light.w00d01,,,
1762,Smart Light Group,"Lamp group with [switch, brightness, color temperature, color] function",mijia.light.group4,,,
1763,air conditioning,air conditioning,hosjoy.aircondition.hos,,,
1764,Viomi Internet Hood VK 707,MIOT_Spec protocol,viomi.hood.c8,,,
1765,HUIZUO TAURUS For Living Room,Huayihui made Taurus living room series -021-ZA,huayi.light.taurus,,,
1766,Apple Smart,Hot water,pingke.waterheater.7a01,,,
1767,Mi Smart Mini Wave Washing Machine Pro 3 kg,Xiaomi B4P module,minij.washer.v20,,,
1768,VIOMI Internet steaming and baking all-in-one machine queen (embedded),Yunmi Internet Electric Steamer Queen (embedded),viomi.oven.so2,,,
1769,NVC Smart Ceiling Lamp (ZhiRui),Living room series-X1,leishi.light.wy0c01,,,
1770,Lezhigou WiFi light switch,,dhzn.switch.sw0a01,,,
1771,H intelligent three key switch (mesh),MESH Smart Switch,090615.switch.hmb032,,,
1772,switch_one,Single channel switch,coolki.switch.test,,,
1773,A little smart sweeping robot,,yeedi.vacuum.yeedi,,,
1774,Mi Internet Refrigerator 540L,"There are two types of 540 refrigerators.This model is a normal model, using module access, no screen.",midjd6.fridge.v1,,,
1775,Dimming light,,juzi.light.010201,,,
1776,Cobos sweeping robot,,eco.vacuum.deebot,,,
1777,AllCenter Switch Series,AllCenter Smart Switch Series,umiot.switch.ums,,,
1778,Viomi Smart Gas Water Heater Zero 16L,Similar products already on the market: Yunmi Internet Gas Water Heater Zero (13L Zero Cold Water Premium Edition),viomi.waterheater.u12,,,
1779,Nordic ceiling light,,sykj.light.040017,,,
1780,Petoneer AirMaster,,skyrc.airpurifier.pur,,,
1781,ZIWOOO Intelligent germicidal lamp Pro,,ziwooo.s_lamp.uvc,,,
1782,Mitsubishi Heavy Industries Haier Smart Air Conditioner,,mhaq.aircondition.miair,,,
1783,AllCenter Light Series,AllCenter Smart Dimming Color Light Series,umiot.light.ums,,,
1784,Smart curtain,Smart curtain,tbsy.curtain.123,,,
1785,TV,"Smart TV remote control, support Xiaoai audio voice control",orvibo.tv.ltv1,,,
1786,Smart Airer,,nbczwl.airer.airer,,,
1787,Zelkova Lock,"Smart door locks with Bluetooth, fingerprint, password and mechanical password unlocking capabilities completely abandon traditional mechanical keys!",shjszn.lock.c1,,,
1788,Silencare AirFryer 1.8L,"Model: SC-K501W
Volume: 1.8L",silen.fryer.sck501,,,
1789,Xiaomi portable WIFI,,chuangmi.wifi.v1,,,
1790,King Pro-A,"erp code: 50.01.01.01.0029
69 yards: 6923185612322
Product model: KFRd-35GW/K1KA1-C1",viomi.aircondition.v30,KFRd-35GW/K1KA1-C1,,auto
1791,Airman Pro,ESP-WROOM-02D Spec protocol,viomi.airpurifier.v1,,,
1792,light,Morgan lamp,landib.light.kd85,,,
1793,Mi Bunny Storyteller,,jiqid.mistory.v1,,,
1794,Viomi Smart Electric Water Heater Air (60L Dual-Tank Wisdom),Yunmi Internet Electric Water Heater Air (60L Dual Tank Smart Enjoy Edition),viomi.waterheater.e8,,,
1795,OPPLE Smartlamp Mode A,Only supports dimming,opple.light.tablgt,,,
1796,Royal,2P cabinet machine KFRd-51LW/KH1-C1,viomi.aircondition.v9,KFRd-51LW/KH1-C1,,auto
1797,Mi IH Pressure Rice Cooker,Mijia Pressure IH Rice Cooker,chunmi.cooker.press2,,,
1798,TV,,deocea.tv.cq,,,
1799,Mi IH Rice Cooker 4L,Mijia IH Rice Cooker,chunmi.cooker.normal5,,,
1800,VINO Inverter Air Conditioner (Energy Label Level 1),VINO inverter air conditioner (level 1 energy efficiency),aden.aircondition.a2,,,
1801,Dancelight I Series Bulb,"Xiamen Topstar Co., Ltd. ceiling lamp project, using ESP-12S module, as a customer of Shenzhen Anxinke Technology Co., Ltd.",tsd.light.test01,,,
1802,Viomi Refrigerator (SBS458L),,viomi.fridge.b4,,,
1803,Monochrome lamp,,lwkj.light.2210,,,
1804,Sumi Magnetic Grille Lamp,,xhuan.light.wy0a04,,,
1805,Dimi RO water purifier 650G,,dmaker.waterpuri.600g,,,
1806,Mi AI Speaker Pro,Large speaker infrared version,xiaomi.wifispeaker.lx06,,,
1807,Carrobot C2-Mini,C2-M official version configuration,ileja.hud.ccm,,,
1808,Mi Kids Smartwatch 4 Pro,Mito Children's Phone Watch 4 PRO,xiaoxun.watch.sw960,,,
1809,Smart LED bulb,,lumi.light.aqcn01,,,
1810,Yeelight Smart Ceiling Fan C900,DC 36,yeelink.light.fancl5,,,
1811,maxway_light,"The original system adds traditional lamps to the control system at the power supply control end. The control system is connected to form a network through a network cable, and the network is equipped with a networked host.
Through the docking with Xiaomi Cloud, the cloud platform converts the voice commands of ""Xiao Ai"" into the existing platform instructions to the host, and the host completes the lighting control of the original equipment by issuing forwarding commands to the control system.",maxway.light.mx101,,,
1812,TV infrared remote control,IR-BOX TV remote control,kiwik.tv.irtv,,,
1813,Bafa socket,,bemfa.plug.be002,,,
1814,Dimming panel (Chopin),Dimming panel (Chopin),kongke.light.kkdim,,,
1815,NOC LOC Intelligent electric learning desk for children,,xlang.desk.nlocv1,,,
1816,Colored lights,,lwkj.light.2010,,,
1817,LED Ceiling Light Crystal Plus,Nox Plus,yeelink.light.ceiling8,YLXD10YL,,manual
1818,Smart Wall Switch H1 (Zero Fire Wire Three Button Version),,lumi.switch.n3acn1,,,
1819,Smart colorful lights,"Smart colorful light function:
1. 160 million colors
2. Brightness adjustment
3. Timing delay function
4. Adjustment of various scene modes",ikonke.light.kklight,,,
1820,Viomi Smart Gas Water Heater VGW1817 18L,MIOT-SPEC access,viomi.waterheater.u38,,,
1821,FanLight,"Intelligent stepless dimming fan light, can switch the fan, turn on the light, adjust the light color",aihome.light.m93,,,
1822,MR.BOND,,mrbond.airer.m2,,,
1823,Smart Module for Electric Curtain,"The intelligent connector of the electric curtain is connected to the curtain to control the opening, closing and pause function of the curtain.",881878.curtain.clznljq,,,
1824,Two Intelligent Switch (WIFI),"Two intelligent switches, APP intelligent control.",090615.switch.switch02,,,
1825,Mi Router 4 Pro,,xiaomi.router.r1350,,,
1826,Four-button strong electric switch in the future,Wired connection,bymiot.switch.4keyv1,,,
1827,Viomi Smart Electric Water Heater Air (60L Dual-Tank Excellent),Yunmi Internet Electric Water Heater Air (60L Double Tank Premium Edition),viomi.waterheater.e7,,,
1828,HUIZUO CNER BELT Pro,"Hua Yihui made Cancer Light Strip Pro
Adjustable brightness, adjustable temperature",huayi.light.kin2,,,
1829,imilab video doorbell,Xiaobai Smart Video Doorbell,chuangmi.cateye.i023a01,,,
1830,Drying rack,,tuya.airer.tyarr2,,,
1831,Xuan Yi Smart Light,,dikair.light.wy0a02,,,
1832,Mi Smart Standing Fan Pro,,dmaker.fan.p11,BPLDS03DM,,manual
1833,Smartmi Evaporative Humidifer 2,"Increase the display screen, increase the amount of humidification",zhimi.humidifier.ca4,CJXJSQ04ZM,,manual
1834,"Aqara Wall Switch D1 (No Neutral, Double Rocker)","AQARA Wall Switch (Split Double Touch), Upgrade Switch Panel (Embedded Add Temperature Excessive Protection) ZB1.2 Version, Press: Click the left button (action), click Right click (action), click left and rightkey.",lumi.switch.b2lacn02,QBKG22LM,Double Wall Switch D1,manual
1835,Yeelight Smart Speaker,Pre-researched products,yeelink.wifispeaker.v1,,,
1836,Viomi Door Lock Link (Long endurance version),Yunmi Internet Smart Door Lock Link (long battery life version),viomi.lock.link2,,,
1837,Smart USB Wall Socket Panel H1 (Gateway Version),"Smart USB wall socket panel H1 (Gateway version) is a gateway with socket and USB charging port. As a Zigbee gateway, the wall-mounted installation method can be applied to the B-end market such as hotels and buildings. The USB port provides convenient and beautiful hotel rooms.Charging method.With RJ45 network port, WiFi, Zigbee3.0.",lumi.gateway.sacn01,,,
1838,Ocooker,,xckj.hood.s9001,,,
1839,Sound control wizard lighting 4,"Control the light on, brightness, color, color temperature, mode",zunder.light.zun222,,,
1840,Silicon crystal heater,,jisi.heater.is30w,,,
1841,IKEA E14 warm white,"IKEA Truphy E14 400lm 5.3W, warm white non-colorable Candle Bulb",ikea.light.led1649c5,LED1649C5,,manual
1842,Yihuijia Smart Switch,Yihuijia Smart Switch,evecca.switch.sw001a,,,
1843,"Mi Inverter Air Conditioner (1.5HP, China Energy Label Level 1)","Mijia Internet air conditioner inverter A04T, first-class energy efficiency",xiaomi.aircondition.ma2,,,
1844,Two-button wall switch,,mpkx.switch.030002,,,
1845,julun smart switch,,julun.switch.jlsw01,,,
1846,mini k smart plug,"wifi smart socket:
remote control
Timing delay
Charging protection",ikonke.plug.minik,,,
1847,NVC YueYing LED ceiling lamp,NVC Moon Shadow Series LED Ceiling Light,leishi.light.yying,,,
1848,Appotronics D30 Laser Projector,"Light peak ultra-short focus laser projection L306A, Fengos system",fengmi.projector.l306a,,,
1849,Xun Kids Smartwatch X1,Xiaoxun Children's Phone Watch T2,xiaoxun.watch.sw710a2,,,
1850,Lige lighting,Lige Lighting,ltdzsw.light.wylg1,,,
1851,Hitachi Central Air Conditioning,Hitachi Central Air Conditioning (abandoned),tc0756.aircondition.53,,,
1852,"Aqara Wall Switch (No Neutral, Single Rocker)",Green rice Zigbee sub-device,lumi.ctrl_neutral1.v1,QBKG04LM,,manual
1853,Yeelight Mesh LED Bulb,Mesh E14 bulb,yeelink.light.meshbulb2,,,
1854,Viomi Internet gas water heater 16L (Premium Version),"JSQ30-VGW163, same appearance and firmware as 1A13L",viomi.waterheater.u6,JSQ30-VGW163,,auto
1855,switch,switch,yongqi.switch.yq0001,,,
1856,Mi Smart Scale 2,The second generation of Xiaomi scales provides users with weight measurement and analysis services.,hmpace.scales.miscale2,XMTZC04HM (NUN4056GL),,manual
1857,King 1X 1.5P,"erp code: 50.01.01.01.0035
69 yards: 6923185613466
Product model: KFRd-35GW/K1QB2-A1",viomi.aircondition.v33,KFRd-35GW/K1QB2-A1,,auto
1858,ZDEER Intelligent Foot Steamer Z9,,zdeer.foot_bath.zdz9,,,
1859,air conditioning,Infrared air conditioner,ikecin.aircondition.ir1,,,
1860,LOOCK Classic 2S,"Luke smart door lock Classic 2S, self-elastic lock body",loock.lock.v8,,,
